['6715131', '6724659', '6769405'] #GCS: 0.417367227491
['5805376', '6840624', '6942415'] #GCS: 0.276321479931
['6705653', '6864027', '6920834'] #GCS: 0.232141174808
['6243535', '6705653', '6846862'] #GCS: 0.23852697053
['6689426', '6705653', '6917899'] #GCS: 0.248503776406
['6840624', '6892849', '6896201'] #GCS: 0.15110480472
['5078958', '5318403', '6872438'] #GCS: 0.191214515877
['5776457', '6757552', '6866291'] #GCS: 0.23779119594
['6391230', '6571275', '6652176'] #GCS: 0.302930848282
['6243535', '6840624', '6938973'] #GCS: 0.15074960624
['5318403', '6872438', '6938903'] #GCS: 0.164440743445
['6780393', '6866291', '6927563'] #GCS: 0.25579928116
['6697415', '6769405', '6907408'] #GCS: 0.330274397174
['6023030', '6161720', '6817953'] #GCS: 0.34090167267
['6780393', '6891392', '6917899'] #GCS: 0.168688423413
['6243535', '6914490', '6924047'] #GCS: 0.349368308836
['6403007', '6800944', '6914490'] #GCS: 0.247406037198
['6840624', '6866291', '6914490'] #GCS: 0.278994285168
['6243535', '6866291', '6914490'] #GCS: 0.386698726268
['6220775', '6924047', '6940403'] #GCS: 0.263462733666
['5318403', '5347743', '6920051'] #GCS: 0.310270001313
['5318403', '6872438', '6920051'] #GCS: 0.275509294752
['6391230', '6451936', '6652176'] #GCS: 0.152026730384
['5347743', '6872438', '6899857'] #GCS: 0.333975245071
['6243535', '6845153', '6866291'] #GCS: 0.391658417117
['5349776', '6451936', '6652176'] #GCS: 0.331309274672
['6722234', '6757552', '6780393'] #GCS: 0.25395095892
['5203100', '6722234', '6924047'] #GCS: 0.379258296291
['6722234', '6864027', '6866291'] #GCS: 0.215119963177
['6689426', '6722234', '6769405'] #GCS: 0.326224431041
['5592334', '6722234', '6780393'] #GCS: 0.481790598228
['6722234', '6769405', '6780393'] #GCS: 0.398562935632
['5805376', '6403007', '6722234'] #GCS: 0.304938992161
['6243535', '6722234', '6866291'] #GCS: 0.282585027999
['6722234', '6780393', '6866291'] #GCS: 0.399240697743
['5368234', '6496624', '6697415'] #GCS: 0.571144324665
['5347743', '5368234', '6697415'] #GCS: 0.520283435972
['6189264', '6697415', '6866291'] #GCS: 0.157257892776
['6840624', '6918901', '6938751'] #GCS: 0.349109440679
['5318403', '6759956', '6872438'] #GCS: 0.314361333023
['5817960', '6161720', '6436251'] #GCS: 0.25635911033
['5802710', '6769405', '6904454'] #GCS: 0.354802539434
['5805376', '6866291', '6874193'] #GCS: 0.243816545345
['5347743', '6866291', '6874193'] #GCS: 0.272542238188
['6243535', '6866291', '6874193'] #GCS: 0.309019097019
['6161720', '6436251', '6737129'] #GCS: 0.253349694757
['5318403', '6292077', '6657747'] #GCS: 0.179763917223
['5318403', '6657747', '6872438'] #GCS: 0.290104137182
['5318403', '5347743', '6657747'] #GCS: 0.227164435713
['5318403', '5347743', '6657747', '6872438'] #GCS: 0.271764444182
['5347743', '6657747', '6872438'] #GCS: 0.306555240228
['5217258', '5318403', '6872438'] #GCS: 0.297465293447
['5217258', '5347743', '6872438'] #GCS: 0.350864026888
['6243535', '6866291', '6954690'] #GCS: 0.335473639517
['5805376', '6403007', '6922316'] #GCS: 0.1979606485
['5347743', '6161720', '6778369'] #GCS: 0.212686741138
['6697415', '6866291', '6958628'] #GCS: 0.271755253274
['6772013', '6872438', '6920834'] #GCS: 0.242891478651
['5592334', '5750745', '6710771'] #GCS: 0.202834781192
['5750745', '6710771', '6904454'] #GCS: 0.322700625555
['5335750', '5805376', '6198375'] #GCS: 0.349977038407
['6198375', '6243535', '6913107'] #GCS: 0.283643564577
['5805376', '6198375', '6872438'] #GCS: 0.344273762577
['6198375', '6840624', '6872438'] #GCS: 0.375240249704
['6218348', '6866291', '6915856'] #GCS: 0.25142890797
['6218348', '6689426', '6872438'] #GCS: 0.379568467163
['6218348', '6866052', '6915856'] #GCS: 0.351973310444
['6218348', '6866052', '6866291', '6915856'] #GCS: 0.295710409178
['6218348', '6866052', '6866291'] #GCS: 0.306566872002
['6218348', '6403007', '6866291'] #GCS: 0.183874736644
['6218348', '6866291', '6872438'] #GCS: 0.277504881611
['5347743', '6218348', '6872438'] #GCS: 0.330868087094
['6403007', '6831875', '6896441'] #GCS: 0.223917526094
['5690889', '6866052', '6866291'] #GCS: 0.334849056056
['5690889', '5805376', '6689426'] #GCS: 0.426177281713
['5690889', '5805376', '6866291'] #GCS: 0.325092775711
['5805376', '6697415', '6830048'] #GCS: 0.285180487561
['6161720', '6496624', '6697415'] #GCS: 0.412113865189
['5207685', '6023030', '6436251'] #GCS: 0.304486232958
['5735532', '5805376', '6937196'] #GCS: 0.277545712297
['5735532', '6403007', '6896441'] #GCS: 0.244831036621
['5735532', '5805376', '6780393'] #GCS: 0.351157669212
['5735532', '6403007', '6780393'] #GCS: 0.268854981045
['6403007', '6880105', '6920796'] #GCS: 0.412909125059
['6689426', '6855394', '6866052'] #GCS: 0.357116067908
['6866052', '6866291', '6915856'] #GCS: 0.328401124619
['6866052', '6872438', '6920834'] #GCS: 0.325531372206
['6866052', '6866291', '6920834'] #GCS: 0.318460332992
['5805376', '6866052', '6920834'] #GCS: 0.28071622207
['5805376', '6866052', '6872438'] #GCS: 0.402444811818
['5805376', '6866052', '6866291'] #GCS: 0.311552905663
['6866052', '6866291', '6913107'] #GCS: 0.39378093778
['5805376', '6866052', '6913107'] #GCS: 0.357097518486
