['6715131', '6724659', '6769405'] #GCS: 0.183771627468
['5805376', '6840624', '6942415'] #GCS: 0.0578372471891
['6705653', '6864027', '6920834'] #GCS: 0.0429423436805
['6243535', '6705653', '6846862'] #GCS: 0.0370458381399
['6689426', '6705653', '6917899'] #GCS: 0.061852448709
['6840624', '6892849', '6896201'] #GCS: 0.0389165041645
['5078958', '5318403', '6872438'] #GCS: 0.0833593513346
['5776457', '6757552', '6866291'] #GCS: 0.131670676481
['6391230', '6571275', '6652176'] #GCS: 0.0389391821057
['6243535', '6840624', '6938973'] #GCS: 0.06500264034
['5318403', '6872438', '6938903'] #GCS: 0.0615067936029
['6780393', '6866291', '6927563'] #GCS: 0.066361392964
['6697415', '6769405', '6907408'] #GCS: 0.0625832257821
['6023030', '6161720', '6817953'] #GCS: 0.150837990787
['6780393', '6891392', '6917899'] #GCS: 0.0287256811109
['6243535', '6914490', '6924047'] #GCS: 0.0507245146091
['6403007', '6800944', '6914490'] #GCS: 0.0357144247032
['6840624', '6866291', '6914490'] #GCS: 0.066703675687
['6243535', '6866291', '6914490'] #GCS: 0.0462143385793
['6220775', '6924047', '6940403'] #GCS: 0.0652887909276
['5318403', '5347743', '6920051'] #GCS: 0.14016906663
['5318403', '6872438', '6920051'] #GCS: 0.232902692257
['6391230', '6451936', '6652176'] #GCS: 0.0571145436069
['5347743', '6872438', '6899857'] #GCS: 0.0514169894682
['6243535', '6845153', '6866291'] #GCS: 0.030385558581
['5349776', '6451936', '6652176'] #GCS: 0.103689674495
['6722234', '6757552', '6780393'] #GCS: 0.0346335181237
['5203100', '6722234', '6924047'] #GCS: 0.0331031008981
['6722234', '6864027', '6866291'] #GCS: 0.037266417913
['6689426', '6722234', '6769405'] #GCS: 0.13257021839
['5592334', '6722234', '6780393'] #GCS: 0.0575470054362
['6722234', '6769405', '6780393'] #GCS: 0.0869628984735
['5805376', '6403007', '6722234'] #GCS: 0.0157241957666
['6243535', '6722234', '6866291'] #GCS: 0.0289494830301
['6722234', '6780393', '6866291'] #GCS: 0.0458101125608
['5368234', '6496624', '6697415'] #GCS: 0.240268127643
['5347743', '5368234', '6697415'] #GCS: 0.10099010327
['6189264', '6697415', '6866291'] #GCS: 0.116827756497
['6840624', '6918901', '6938751'] #GCS: 0.0586376167266
['5318403', '6759956', '6872438'] #GCS: 0.0711059517958
['5817960', '6161720', '6436251'] #GCS: 0.0776590797467
['5802710', '6769405', '6904454'] #GCS: 0.0502282934737
['5805376', '6866291', '6874193'] #GCS: 0.0871444016055
['5347743', '6866291', '6874193'] #GCS: 0.120636655166
['6243535', '6866291', '6874193'] #GCS: 0.09529453849
['6161720', '6436251', '6737129'] #GCS: 0.099650290586
['5318403', '6292077', '6657747'] #GCS: 0.046271952571
['5318403', '6657747', '6872438'] #GCS: 0.0832954379525
['5318403', '5347743', '6657747'] #GCS: 0.0704848678521
['5318403', '5347743', '6657747', '6872438'] #GCS: 0.0593274900593
['5347743', '6657747', '6872438'] #GCS: 0.0443412327252
['5217258', '5318403', '6872438'] #GCS: 0.0757692779171
['5217258', '5347743', '6872438'] #GCS: 0.0812912807358
['6243535', '6866291', '6954690'] #GCS: 0.0710920610062
['5805376', '6403007', '6922316'] #GCS: 0.0170885277647
['5347743', '6161720', '6778369'] #GCS: 0.0679936665139
['6697415', '6866291', '6958628'] #GCS: 0.259669899729
['6772013', '6872438', '6920834'] #GCS: 0.0585327415931
['5592334', '5750745', '6710771'] #GCS: 0.0248197797833
['5750745', '6710771', '6904454'] #GCS: 0.0240055533921
['5335750', '5805376', '6198375'] #GCS: 0.0720541627538
['6198375', '6243535', '6913107'] #GCS: 0.0258208115201
['5805376', '6198375', '6872438'] #GCS: 0.0555145217115
['6198375', '6840624', '6872438'] #GCS: 0.106771347455
['6218348', '6866291', '6915856'] #GCS: 0.0786997758838
['6218348', '6689426', '6872438'] #GCS: 0.107333840921
['6218348', '6866052', '6915856'] #GCS: 0.0632318539561
['6218348', '6866052', '6866291', '6915856'] #GCS: 0.074049064403
['6218348', '6866052', '6866291'] #GCS: 0.0827862401274
['6218348', '6403007', '6866291'] #GCS: 0.0858440878879
['6218348', '6866291', '6872438'] #GCS: 0.0788612576894
['5347743', '6218348', '6872438'] #GCS: 0.0588399687654
['6403007', '6831875', '6896441'] #GCS: 0.0165714429674
